vehicle_id,latitude,longitude,speed,road,timestamp
V001,38.6270,-90.1994,65.5,I-70,2024-01-01 10:00:00
V002,38.6280,-90.1984,85.2,I-70,2024-01-01 10:05:00
V003,38.6290,-90.1974,72.3,I-70,2024-01-01 10:10:00
V004,38.6300,-90.1964,95.8,I-70,2024-01-01 10:15:00
V005,38.6150,-90.2200,68.4,Highway 40,2024-01-01 10:20:00
V006,38.6160,-90.2190,88.9,Highway 40,2024-01-01 10:25:00
V007,38.6170,-90.2180,76.2,Highway 40,2024-01-01 10:30:00
V008,38.6180,-90.2170,82.1,Highway 40,2024-01-01 10:35:00
V009,38.5800,-90.0500,91.5,IL 4,2024-01-01 10:40:00
V010,38.5810,-90.0490,70.3,IL 4,2024-01-01 10:45:00
V011,38.6270,-90.1994,78.6,I-70,2024-01-01 10:50:00
V012,38.6280,-90.1984,84.7,I-70,2024-01-01 10:55:00
V013,38.6150,-90.2200,69.8,Highway 40,2024-01-01 11:00:00
V014,38.5800,-90.0500,93.2,IL 4,2024-01-01 11:05:00
V015,38.6270,-90.1994,73.5,I-70,2024-01-01 11:10:00
V016,38.6280,-90.1984,86.4,I-70,2024-01-01 11:15:00
V017,38.6160,-90.2190,71.9,Highway 40,2024-01-01 11:20:00
V018,38.5810,-90.0490,89.3,IL 4,2024-01-01 11:25:00
V019,38.6290,-90.1974,94.6,I-70,2024-01-01 11:30:00
V020,38.6150,-90.2200,67.1,Highway 40,2024-01-01 11:35:00
